from,to,count,kind,type,status,reason
afdthueringen,afdbrennpunkt,13,live,link,,
alex_malenki,lukreta,13,live,link,,
benjamin_d_nolte,dekurier,13,live,link,,
christian_zaum_afd,irmhild_bossdorf,13,live,link,,
generation_thueringen,afdjugendbw,13,live,link,,
identitaeredeutschland,martinsellnerib,13,live,link,,
jadeutschland,ein_prozent,13,live,link,,
jadeutschland,ja_sachsen,13,live,link,,
robertteske,bertteske,13,live,link,,
selina_sunnetanz,lukreta,13,live,link,,
thymosmagazin,kvltgames,13,live,link,,
afdjugendbw,afd_thl,12,live,link,,
afdthueringen,teamaust,12,live,link,,
aufdiestrasse,zentrum_chemnitz,12,live,link,,
compact,swiftputcommunity,12,live,link,,
franzschmidafd,afdlandtagbayern,12,live,link,,
generation_thueringen,afd_thl,12,live,link,,
identitaeredeutschland,zentrum_chemnitz,12,live,link,,
identitaereoesterreich,jungetat,12,live,link,,
jungealternativenrw,jadeutschland,12,live,link,,
jungealternativenrw,krautzone,12,live,link,,
krah_direkt,dekurier,12,live,link,,
matthiashelferich,auf1tv,12,live,link,,
thorstenweissafd,bjoernhoeckeafd,12,live,link,,
waldgangalbdruck,da_haben_wir_es,12,live,link,,
afd_duesseldorf,sventritschler,11,live,link,,
afdbrennpunkt,pboehringer,11,live,link,,
afdschleswigholstein,afd_kreis_pinneberg,11,live,link,,
alexsellberlin,afdeu,11,live,link,,
alexsellberlin,afdfraktionberlin,11,live,link,,
bruno_wolters,freilichmagazin,11,live,link,,
club451,omladina451bg,11,live,link,,
hcberndt,fabianjankafd,11,live,link,,
hcberndt,hcberndt1,11,live,link,,
identitaeredeutschland,aktiv_berlin,11,live,link,,
irmhild_bossdorf,jungealternativenrw,11,live,link,,
ja_sachsen,afdjugendbw,11,live,link,,
jadeutschland,heimatkurier,11,live,link,,
jadeutschland,wilhelmkachel,11,live,link,,
jungealternativenrw,ja_sachsen,11,live,link,,
jungealternativesh,nordfeuer,11,live,link,,
jungetat,martinsellnerib,11,live,link,,
kvltgames,gamedev,11,live,link,,
martinctkohler,afd_berlin,11,live,link,,
marvintneumann,keith_woods,11,live,link,,
matthiashelferich,dekurier,11,live,link,,
reinweiblich,alexanderjungbluthafd,11,live,link,,
wilhelmkachel,lukreta,11,live,link,,
wolfpmsoffiziell,zentrum_chemnitz,11,live,link,,
zentrum_chemnitz,identitaeredeutschland,11,live,link,,
afdjugendbw,bjoernhoeckeafd,10,live,link,,
benediktkaiser,bruno_wolters,10,live,link,,
christian_zaum_afd,robertteske,10,live,link,,
ibsachsen,aufdiestrasse,10,live,link,,
jungealternativenrw,afdthueringen,10,live,link,,
jungealternativenrw,danielhaseloffafd,10,live,link,,
jungealternativenrw,irmhild_bossdorf,10,live,link,,
jungealternativesh,afdjugendbw,10,live,link,,
jungetat,solisstorech,10,live,link,,
jungeuropa,wolfpmsoffiziell,10,live,link,,
kaernten_geht_in_die_offensive,instantmediabot,10,live,link,,
marvintneumann,afdfraktionbb,10,live,link,,
marvintneumann,tomaszfroelich,10,live,link,,
matthiashelferich,freilichmagazin,10,live,link,,
reconquista21,widerstandinbewegung,10,live,link,,
reinweiblich,jungetat,10,live,link,,
robertteske,melaniebergerafd,10,live,link,,
waldgangalbdruck,hejtruth,10,live,link,,
wolfpmsoffiziell,benediktkaiser,10,live,link,,
zurlage,irmhild_bossdorf,10,live,link,,
aktivistmanuel,martinsellnerib,9,live,link,,
alex_malenki,metanoiamagazin,9,live,link,,
benediktkaiser,fabianjankafd,9,live,link,,
christopherdroesslerafd,danielhaseloffafd,9,live,link,,
christopherdroesslerafd,hristopherdroesslerafd,9,live,link,,
christopherdroesslerafd,moellerth,9,live,link,,
club451,omladina451bl,9,live,link,,
compact,helena_fx_gunther,9,live,link,,
compact,helena_gunther,9,live,link,,
hydracomicsdd,wolfpmsoffiziell,9,live,link,,
ibsachsen,ein_prozent,9,live,link,,
identitaereoesterreich,martinsellnerib,9,live,link,,
jadeutschland,compactmagazin,9,live,link,,
jadeutschland,generationdeutschland,9,live,link,,
jadresden,jadeutschland,9,live,link,,
lukreta,castellaurora,9,live,link,,
marvintneumann,bruno_wolters,9,live,link,,
marvintneumann,christopherdroesslerafd,9,live,link,,
marvintneumann,robertteske,9,live,link,,
prototelegram,rockhate,9,live,link,,
reconquista21,heimatkurier,9,live,link,,
reconquista21,identitaereoesterreich,9,live,link,,
rfjooe,heimatkurier,9,live,link,,
