id,status,reason,total_mentions,source_group_count,source_groups
jungealternativeschwaben,flood_wait_exceeded,flood wait 85026s exceeds maxWait=600s,0,0,
jungealternativesh,flood_wait_exceeded,flood wait 85029s exceeds maxWait=600s,0,0,
jungetat,flood_wait_exceeded,flood wait 84912s exceeds maxWait=600s,0,0,
jungeuropa,flood_wait_exceeded,flood wait 85155s exceeds maxWait=600s,0,0,
kaernten_geht_in_die_offensive,flood_wait_exceeded,flood wait 84948s exceeds maxWait=600s,0,0,
kiesdries,flood_wait_exceeded,flood wait 84915s exceeds maxWait=600s,0,0,
klartextbaum,flood_wait_exceeded,flood wait 85071s exceeds maxWait=600s,0,0,
komitet212,flood_wait_exceeded,flood wait 85134s exceeds maxWait=600s,0,0,
krah_direkt,flood_wait_exceeded,flood wait 85059s exceeds maxWait=600s,0,0,
krautzone,flood_wait_exceeded,flood wait 85170s exceeds maxWait=600s,0,0,
kulturfestung,flood_wait_exceeded,flood wait 85110s exceeds maxWait=600s,0,0,
kvltgames,flood_wait_exceeded,flood wait 85116s exceeds maxWait=600s,0,0,
lionedler,flood_wait_exceeded,flood wait 85077s exceeds maxWait=600s,0,0,
lukreta,flood_wait_exceeded,flood wait 85158s exceeds maxWait=600s,0,0,
marcus_buehl,flood_wait_exceeded,flood wait 84939s exceeds maxWait=600s,0,0,
martinctkohler,flood_wait_exceeded,flood wait 84867s exceeds maxWait=600s,0,0,
martinsellnerib,flood_wait_exceeded,flood wait 85122s exceeds maxWait=600s,0,0,
martinsellnervideos,flood_wait_exceeded,flood wait 84951s exceeds maxWait=600s,0,0,
marvintneumann,flood_wait_exceeded,flood wait 84879s exceeds maxWait=600s,0,0,
marykhanafd,flood_wait_exceeded,flood wait 85011s exceeds maxWait=600s,0,0,
matthiashelferich,flood_wait_exceeded,flood wait 85179s exceeds maxWait=600s,0,0,
moellerth,flood_wait_exceeded,flood wait 85044s exceeds maxWait=600s,0,0,
nicht_normal,flood_wait_exceeded,flood wait 85038s exceeds maxWait=600s,0,0,
niusde,flood_wait_exceeded,flood wait 84870s exceeds maxWait=600s,0,0,
prototelegram,flood_wait_exceeded,flood wait 84978s exceeds maxWait=600s,0,0,
reconquista21,flood_wait_exceeded,flood wait 84933s exceeds maxWait=600s,0,0,
reinweiblich,flood_wait_exceeded,flood wait 85161s exceeds maxWait=600s,0,0,
rene_springer,flood_wait_exceeded,flood wait 85080s exceeds maxWait=600s,0,0,
report24news,flood_wait_exceeded,flood wait 85131s exceeds maxWait=600s,0,0,
rfjooe,flood_wait_exceeded,flood wait 85101s exceeds maxWait=600s,0,0,
robertteske,flood_wait_exceeded,flood wait 84972s exceeds maxWait=600s,0,0,
rtvooe,flood_wait_exceeded,flood wait 85137s exceeds maxWait=600s,0,0,
selina_sunnetanz,flood_wait_exceeded,flood wait 84903s exceeds maxWait=600s,0,0,
soldaten_und_reservisten,flood_wait_exceeded,flood wait 84996s exceeds maxWait=600s,0,0,
spanielmdb,flood_wait_exceeded,flood wait 85065s exceeds maxWait=600s,0,0,
stefanmagnet,flood_wait_exceeded,flood wait 85047s exceeds maxWait=600s,0,0,
tannwaldmedia,flood_wait_exceeded,flood wait 84918s exceeds maxWait=600s,0,0,
teamaust,flood_wait_exceeded,flood wait 84924s exceeds maxWait=600s,0,0,
thorstenweissafd,flood_wait_exceeded,flood wait 85041s exceeds maxWait=600s,0,0,
thymosmagazin,flood_wait_exceeded,flood wait 85104s exceeds maxWait=600s,0,0,
tomaszfroelich,flood_wait_exceeded,flood wait 85209s exceeds maxWait=600s,0,0,
unitedworldinternational,flood_wait_exceeded,flood wait 85014s exceeds maxWait=600s,0,0,
visionremigrationch,flood_wait_exceeded,flood wait 85182s exceeds maxWait=600s,0,0,
vorstadtaktivist,flood_wait_exceeded,flood wait 84906s exceeds maxWait=600s,0,0,
voxeuropaherald,flood_wait_exceeded,flood wait 84873s exceeds maxWait=600s,0,0,
waldgangalbdruck,flood_wait_exceeded,flood wait 84993s exceeds maxWait=600s,0,0,
wiebkemuhsal,flood_wait_exceeded,flood wait 84942s exceeds maxWait=600s,0,0,
wilhelmkachel,flood_wait_exceeded,flood wait 85185s exceeds maxWait=600s,0,0,
wolfpmsoffiziell,flood_wait_exceeded,flood wait 84963s exceeds maxWait=600s,0,0,
zeitschrift_sezession,flood_wait_exceeded,flood wait 85128s exceeds maxWait=600s,0,0,
zentrum_chemnitz,flood_wait_exceeded,flood wait 85149s exceeds maxWait=600s,0,0,
zurlage,flood_wait_exceeded,flood wait 84981s exceeds maxWait=600s,0,0,
